id,labels
8721,4
5672,4
1431,209
9688,238
1655,817
9130,1043
878,910
5819,260
12141,466
4086,1059
12646,8
9210,5
316,319
5019,1208
7692,1052
11830,763
7875,510
6937,625
8814,172
6280,535
5011,564
446,25
11439,615
11143,136
9758,268
10317,95
2700,250
6579,496
10376,327
10872,741
650,514
11504,79
11352,1211
12151,535
4522,368
4721,1213
8361,253
4,32
10289,201
5928,702
10820,633
3985,926
8507,625
6377,889
5945,997
10976,459
1154,319
5477,1189
3320,1193
4070,1002
4164,783
5119,802
7561,666
6957,513
5934,32
8894,532
3014,673
11516,471
9963,1057
9007,275
4929,888
9597,199
6762,370
4978,414
1911,1026
1611,883
4556,1004
7603,1162
4408,537
705,953
10917,812
12739,40
567,428
7669,583
3652,57
492,1177
10606,795
12729,598
7183,642
9737,300
4990,212
12336,808
12757,596
3359,704
5877,206
4799,86
1768,714
11599,909
3471,853
11255,1206
12064,1079
11212,136
3570,709
2317,796
755,644
3991,239
11008,818
9767,467
788,304
6154,406
4462,512
1361,1078
12062,842
8496,603
2153,175
5755,160
5502,254
2812,429
10609,467
972,379
2606,129
8581,241
5118,802
6358,1065
11605,941
9154,5
5569,853
8534,433
58,557
3400,71
8573,483
8486,47
2803,439
6702,766
9059,676
12733,887
8408,1144
6037,842
7153,647
8831,1108
7948,625
9245,881
10176,670
922,974
8559,1160
1941,446
9163,135
1919,1162
3917,1070
10200,495
12175,297
11963,375
2875,944
8208,717
5614,883
4225,18
2647,153
11280,1162
2847,205
11381,1092
3868,8
11369,359
10745,235
8077,682
2712,769
11788,16
10345,833
6845,614
7459,70
1613,495
3740,1207
12481,718
5155,870
2528,994
253,514
8377,497
9947,1177
2028,282
4036,610
226,745
7579,735
9509,1095
4826,1063
1630,1171
5809,1173
5631,312
9875,203
10837,198
11219,663
5836,212
9320,867
4519,704
4229,878
1395,792
4484,894
5688,583
8810,492
4107,915
12104,510
4671,1104
8678,198
5926,359
1329,477
12323,42
6932,1199
7585,925
9063,81
12025,691
710,240
6337,1071
10276,1151
1608,1177
5030,455
4242,318
2322,26
9274,530
5500,406
535,450
7469,423
255,396
8731,226
8105,500
5822,1005
7638,465
10348,819
1409,373
2445,870
9544,155
12316,153
5312,467
11291,338
5823,764
10395,485
2829,117
1793,881
2215,313
8381,1052
1029,144
6077,1003
12889,1049
12526,882
93,685
11172,857
6696,292
8384,46
11414,688
1970,685
8989,842
11551,812
5333,875
6495,623
11841,1063
11068,535
1856,685
2472,1132
5649,195
3052,689
1866,301
2225,739
4197,1046
11761,162
1852,427
5693,857
4454,473
11767,1101
11926,1180
9628,225
3369,170
6180,894
6809,466
8649,260
2613,324
10912,85
12098,327
9277,73
906,891
7034,1162
3821,22
12483,651
6697,720
239,152
10139,688
5317,1156
782,882
6999,919
1337,755
12862,507
2492,1099
3534,741
6752,655
7133,604
940,538
2318,168
1230,1162
2901,1114
508,1169
2780,1007
5938,1159
10719,1110
3804,1012
11862,688
1771,720
6709,324
6793,352
8374,123
5895,430
993,982
9883,557
10827,766
9030,580
4503,116
751,881
5599,509
8112,97
12016,273
9373,1037
905,579
6221,878
11358,381
11837,242
9535,926
11160,14
5120,1112
9207,70
12864,1127
6114,511
733,1193
10567,202
4906,309
48,992
6546,155
11800,934
5899,64
7743,1085
1746,142
2934,962
9300,414
4902,1180
2747,841
8870,996
4338,782
4483,470
7445,288
9115,10
5871,341
7510,96
8876,259
2541,116
12809,273
6795,1040
2237,406
4749,477
11175,613
8116,647
8084,202
5288,471
6141,831
6211,394
7502,1116
10605,352
11420,54
6774,344
7720,695
4396,1181
9412,658
1367,571
2483,501
8113,735
4444,1036
11556,252
5517,473
660,422
7567,1167
7457,800
8750,467
1505,647
8733,596
11018,470
5671,406
3610,197
12677,756
2150,1037
6373,170
10022,956
1171,501
3007,1193
11965,361
9931,566
3180,368
3151,1059
718,917
2321,753
2179,139
12765,99
5043,1160
12047,843
12583,1134
4312,525
3660,586
2107,638
1934,891
3902,330
2596,195
7872,869
499,1037
8305,451
6225,1199
5204,353
8124,555
3942,816
10051,302
344,20
11934,268
4238,1059
4431,1024
6783,916
11930,726
4472,1174
925,21
6747,1167
5058,1192
11720,1139
2509,1159
3931,404
3643,1114
1536,336
4130,1188
12504,1136
1074,92
12217,7
1028,699
711,259
4971,650
9705,103
1870,457
2481,1019
2885,127
5050,960
6528,62
2162,1146
985,875
2638,898
7033,1102
7540,483
9140,405
8014,306
8899,954
4527,587
3545,596
5164,519
6494,1009
3117,240
11406,861
2624,905
4786,260
7112,619
5252,624
11226,344
4872,557
3056,625
5323,427
3367,9
2878,616
10587,548
11809,755
6936,1107
102,672
4419,799
1196,423
6299,625
8263,799
1477,751
7063,25
10735,1173
10607,661
6429,601
7492,1030
5231,35
10971,1131
8700,756
979,708
11642,620
11911,588
5482,510
11872,1162
8725,90
10998,669
1799,659
391,533
6345,373
9740,98
2715,175
1449,16
11441,709
10824,9
6753,329
917,730
5568,314
3116,620
3715,362
5987,78
4535,709
1604,185
4685,542
12783,1008
7608,236
8788,178
9638,135
12527,625
6828,1087
1076,751
2923,870
1216,770
9924,191
11701,1167
3026,404
10012,477
6318,625
5277,364
1920,1144
2274,580
3725,1129
7665,1164
3959,931
812,1091
588,548
12491,943
8321,29
12476,947
7615,625
5994,1098
1526,683
11758,525
9038,1107
3147,510
7931,312
1033,444
5762,98
8171,475
2095,1175
5577,1098
3409,514
12578,860
7111,854
7922,814
9627,884
6432,1069
1590,291
9862,607
7440,404
7805,360
54,181
7321,275
11500,437
4525,738
1570,1158
12136,200
406,597
12170,845
4589,1119
10421,820
2756,489
5697,907
2594,89
10143,575
5328,509
7929,605
5327,521
8443,862
3664,634
12584,863
5647,891
12241,706
12127,52
903,1
3730,1044
8454,154
5997,1002
10680,989
669,1006
7740,86
4303,752
4713,1039
4655,365
5681,1029
881,662
2040,636
12182,1172
1816,520
3293,498
3318,625
6905,870
4395,997
6759,222
5017,327
12716,1017
7614,556
2561,729
8247,1179
4659,467
759,249
7529,553
6010,276
4278,417
776,1021
7927,1108
11042,236
11744,351
11121,1075
11447,951
9270,66
532,378
7227,906
2645,1060
10440,1079
3631,355
7581,1059
9896,781
6032,385
1084,970
7052,1127
3592,797
6099,968
1753,741
975,744
4309,640
8393,282
4059,371
8198,9
4224,433
12500,509
11929,1201
8094,1212
7360,148
7367,744
9211,698
7044,442
6551,897
9811,95
971,108
12898,162
11254,421
11339,122
2359,819
12273,842
1128,983
7470,423
11030,137
11515,510
1108,511
2828,1174
5437,885
11746,837
7193,276
10181,548
1571,1024
5496,749
7745,636
3735,1057
1679,735
12297,535
3495,595
9441,1194
7037,814
2059,792
11806,91
12054,894
1437,155
4105,517
10803,356
453,1057
11725,718
7453,1054
3597,301
9291,519
3521,397
8808,655
3926,984
5039,30
10957,389
3357,681
5244,992
6694,596
12711,618
4715,638
5112,54
8455,1042
4543,554
8438,919
10457,1121
4167,291
3383,720
10712,474
5892,408
12535,588
659,218
2682,887
1213,1062
921,50
6598,380
2315,924
523,1031
6923,1095
7783,862
2161,27
4306,625
3615,253
2437,1090
634,666
6858,5
6264,853
11579,325
6516,562
1707,785
7211,1199
2372,606
5009,308
396,741
4837,996
3761,413
4989,970
3877,140
8242,507
3459,1141
11714,581
4716,757
12177,1167
6973,991
9516,1133
3574,1089
7662,1136
3624,675
10435,661
7432,745
3650,1005
9584,406
83,881
9498,581
8069,1077
8686,152
10590,180
5606,780
3061,915
11225,195
8590,201
9222,1165
4757,756
1548,341
3551,321
11502,1151
5160,917
2060,176
8898,765
7006,402
4935,731
5088,383
738,891
238,752
7880,45
3057,868
10959,431
9122,1003
10665,1171
9389,195
12608,385
9786,526
2493,892
11391,1161
10238,1063
10441,1065
12411,1038
799,752
2393,1075
2997,759
8770,545
5622,340
7768,220
7853,1133
6312,166
7705,36
4529,203
12085,118
7376,255
6592,716
11141,650
2026,140
10191,872
2750,1060
554,705
6253,904
1102,188
6508,116
12229,179
3708,170
7986,255
11036,143
7152,590
11951,470
7894,1105
4354,816
594,507
10235,643
4563,783
4515,581
1685,1178
6938,310
11601,371
10688,716
2935,268
8940,407
6183,28
2504,381
5371,1084
8139,205
8103,10
4100,64
11166,31
11461,952
8524,506
4333,91
5239,215
10984,941
8311,379
2475,158
5289,761
9921,455
7118,920
5526,8
9674,840
6112,1137
8212,255
8052,169
9987,863
3992,640
6050,746
6315,522
1493,550
10285,160
11264,86
8719,1041
8481,1087
7898,956
12698,464
2128,659
6017,130
948,1146
11413,410
9670,506
4083,760
8941,147
1289,1156
9530,518
4764,76
9557,352
1739,1210
5076,228
3783,404
3308,656
286,511
1238,768
4936,248
6290,833
4995,327
8447,1102
4441,510
6258,813
10445,246
11655,301
9690,201
8651,563
3413,1168
9147,153
9778,71
2896,587
4662,917
8838,688
10642,326
11228,355
1516,669
7763,382
11201,873
7060,127
3076,1150
5567,260
181,408
4437,838
8801,1193
9818,373
5248,529
4267,356
9475,123
2332,970
11017,823
2524,116
7831,865
7054,735
4830,1167
5646,405
9241,937
12232,511
9876,250
7128,511
7124,406
3497,662
10469,23
11741,151
3380,1045
5080,354
801,708
12880,1175
281,440
12593,427
4877,288
12247,40
2949,91
6695,1018
12616,201
6530,412
2219,1083
8179,364
6162,1168
7005,604
78,468
10250,416
11077,921
11389,786
7298,742
7724,601
4879,1211
10246,511
11678,929
8877,102
11508,62
12749,108
4254,445
10386,1212
7388,584
11125,523
6442,556
434,308
12529,593
6569,152
8515,523
11024,135
2455,803
8518,791
12668,146
1692,607
10490,1162
8960,1074
11869,1037
10004,925
8376,951
11457,880
4245,120
6673,584
12671,993
6730,173
3030,621
5815,958
2395,352
6583,943
2410,1173
3020,34
11736,825
562,435
4352,510
1242,807
12800,1150
2248,1171
12565,1089
6925,98
2371,412
166,393
7678,597
5405,928
12335,220
4171,406
452,948
11351,1046
7747,1041
3315,1037
11295,102
6861,914
9621,121
5456,752
7114,883
5362,251
12440,235
3878,416
10035,794
97,1009
12549,1109
12014,614
570,366
9446,8
703,1212
5813,1162
3221,1175
7150,1136
8739,636
4000,975
1078,226
897,611
6086,709
4161,60
5562,1079
9421,817
11895,864
11651,867
10534,854
8852,1079
9455,1036
980,316
1783,690
7241,625
11399,1172
8818,488
2205,1163
7780,303
3907,396
12306,467
3476,1196
8184,625
3611,679
12114,92
12860,1082
12293,408
5178,1167
12371,609
319,353
12732,116
10120,202
8368,186
3569,140
8866,638
3699,384
10914,1130
5715,1084
407,169
7924,1112
9815,383
5176,1023
6335,110
7142,1070
5506,873
1015,220
11236,447
8802,1212
4098,61
11361,680
4850,1151
10731,16
6555,991
7423,985
6091,850
3996,1162
6423,197
6934,74
8269,631
8714,348
1659,71
1155,1149
1436,62
3757,8
4283,746
7731,348
9252,11
7825,625
2835,625
4210,688
3707,607
4575,1053
5345,747
5200,364
10327,905
5182,443
6172,874
9079,468
3885,1036
9579,395
4302,407
5069,1148
7670,929
2093,230
2347,467
10039,569
2570,1212
7837,275
8123,883
9591,436
494,1085
9592,431
10813,259
12707,68
9772,254
51,743
408,748
4539,523
6148,679
3186,219
9984,315
3479,1162
11815,406
263,812
10048,467
1051,32
3193,387
1134,457
2687,719
12597,1181
7530,423
6966,536
10069,885
8072,354
9746,950
6597,99
7175,238
9437,176
7952,596
12901,428
12322,220
6758,1110
5229,955
12366,866
12202,9
4720,449
4236,903
9719,912
8068,1160
7215,1150
10221,1127
2859,886
3470,1138
5177,438
6418,188
8424,99
510,867
11114,216
8189,1111
10516,37
12734,966
10061,1191
8425,310
11103,90
8905,370
62,593
11553,14
8225,1064
7575,459
5613,424
10859,1167
1756,1172
1871,1029
8060,971
10453,1179
6522,1193
5704,304
4378,484
5901,542
6665,822
5977,177
5024,771
10629,1162
1948,622
1797,717
5049,1141
2696,604
2378,1199
8926,301
2868,395
3988,896
8548,416
11880,789
237,951
11213,338
577,14
7736,1013
1772,163
6699,1003
12820,556
4132,89
4709,1106
12338,917
10350,870
9236,566
11492,932
7353,613
974,1053
10742,563
4178,688
2770,507
11217,510
10569,37
7908,1185
8122,399
3163,383
1163,921
11232,875
1331,837
2679,193
3552,507
10543,561
8712,457
9329,989
2021,785
11056,1010
9554,486
5440,804
300,406
2707,310
7191,1036
338,328
5857,947
12347,312
12751,1164
7134,158
9613,1140
8395,87
11299,145
7980,261
1455,544
8347,740
7158,403
1038,929
2154,157
5267,590
3238,1119
7356,457
7053,263
6757,304
7829,42
4701,405
2365,1162
2805,508
15,47
7338,177
12260,407
5135,546
4231,398
4380,304
830,792
3069,706
3668,410
1280,233
12848,798
7654,1011
8591,298
1719,426
6144,323
11262,1068
11583,969
9457,266
503,996
3764,1155
6689,1158
3544,54
9599,512
3454,659
2903,923
5585,1193
12103,985
3752,1082
1176,225
2611,457
12310,485
9532,1167
6756,248
9178,255
3001,111
4852,945
4079,1162
6578,927
7460,111
10906,1162
3538,356
12385,327
8656,781
3115,468
10744,977
9215,465
12369,377
1628,884
10679,285
7136,992
10891,214
5376,889
10000,697
6454,1162
8661,584
5308,406
8004,55
7018,864
3893,93
7228,41
12624,23
5400,1140
11648,131
7613,380
8547,514
10482,1145
10869,315
10141,551
8312,373
762,1106
5737,68
6367,869
163,735
3283,1193
12488,564
3612,438
2181,600
6301,611
11163,379
8394,1192
10431,1049
8169,1173
9659,476
9173,1122
2817,512
9068,215
2758,1191
33,655
612,108
8006,641
9107,1167
4299,925
7,1176
951,285
7071,295
1567,480
1843,865
9225,321
6777,716
11724,1173
1509,177
5896,250
800,1155
6906,1129
9518,409
2436,502
3381,439
2381,1136
12359,1033
10860,356
3113,575
6848,1068
11864,606
3837,1033
9528,778
2157,830
6818,694
223,89
6044,606
7514,716
5061,1037
5701,884
11912,186
11957,467
8284,665
4828,625
4819,1148
1098,901
4520,81
4500,271
2030,132
9927,767
9864,615
5194,846
2743,604
9471,243
11813,629
8475,822
3220,901
6093,125
1662,251
6992,553
1785,22
4209,1147
5628,457
10019,404
8851,107
11942,907
2910,223
6094,359
4628,688
3828,607
9239,1162
596,42
2925,457
7683,35
10461,915
7386,444
12524,250
12502,324
2726,510
12181,1167
10758,757
9684,1191
2708,1117
12324,606
11859,1036
1156,133
1232,643
3956,373
10505,41
8685,891
4028,886
3883,212
6415,635
4234,140
10396,334
981,892
11038,679
7465,170
8928,467
8295,981
8638,1167
1503,637
1649,133
11773,900
3054,172
12897,656
7882,1104
4440,81
12045,1212
9910,924
6641,87
12700,728
2331,1183
3993,307
9216,471
5269,1038
7291,380
8776,542
5468,451
5172,729
9738,893
613,1193
11499,89
12325,529
5227,404
2557,355
8844,268
3960,406
7983,981
4450,592
3966,706
5539,243
9706,127
12887,724
2352,474
10934,107
2683,172
10147,1159
3178,1104
9497,713
142,110
5001,265
4523,715
3083,862
8309,203
1121,501
213,121
311,1121
6100,353
4048,893
5282,1122
4521,943
8892,510
7284,401
12388,577
12498,575
817,832
12523,943
8098,715
317,605
6409,1032
1854,463
388,197
7199,524
245,335
7007,237
7734,209
8933,432
9892,203
6222,185
2337,32
2680,13
10698,139
12167,976
5246,886
10780,143
8141,118
7352,481
6362,423
3021,560
11126,214
283,452
2400,525
10020,770
5957,891
540,206
392,653
4882,467
2946,160
10471,379
3579,164
6058,144
7351,73
9904,1117
11549,1196
2010,606
3194,1074
11666,1074
8426,8
383,605
4983,313
945,853
3177,177
8586,357
2795,1212
6443,559
815,517
11003,1167
8929,93
4665,174
5255,177
3478,323
7449,273
4880,411
2316,627
3091,717
6103,152
6532,879
892,808
267,387
2313,1118
89,317
4186,919
8007,1063
7976,638
5330,853
12856,650
8119,708
5810,3
5183,471
5814,324
5391,341
10523,386
7181,551
4622,257
10291,955
10716,600
6316,1016
9040,911
2510,464
12258,331
6267,1062
5841,653
7299,1193
2207,191
134,563
1474,273
2430,258
8556,15
1967,450
12031,1177
2180,453
6392,695
5637,568
2989,1146
9296,34
7719,985
8194,891
12537,680
1259,1173
12785,1169
11650,622
5261,74
11680,115
3856,386
5503,153
10890,1167
1616,52
12373,295
5769,765
464,389
10774,691
3480,573
8217,1177
12165,1023
8723,905
5339,1026
1544,697
2746,367
7973,405
5406,996
12011,933
11587,70
654,625
4217,881
10902,1128
3846,311
9217,1013
2848,268
12761,688
7313,563
4540,1008
4626,708
5501,385
12830,228
7226,764
4020,1078
2556,440
3688,758
2886,363
32,337
5090,607
874,225
12454,618
6502,301
12801,1001
7234,427
6781,732
2754,949
10084,141
6324,312
6593,789
6150,488
10336,178
1482,522
5238,755
7632,457
12760,1050
9285,195
129,1212
11470,346
12599,1035
4751,1039
11894,404
944,600
12831,1001
10528,755
2830,1107
2121,906
5564,1133
10648,404
6991,398
1829,156
2864,1081
10614,669
6111,965
485,109
8051,1156
5695,743
3698,588
10835,1162
11679,1022
2083,479
4842,623
3252,894
1813,586
2634,973
9082,624
9507,89
1168,1209
9949,415
8405,688
3955,294
11479,555
8399,1070
7957,802
4759,509
6302,234
6952,25
7377,1141
3704,467
698,507
611,1167
9145,1035
5250,820
8996,883
12748,891
4101,1058
5640,423
749,615
84,858
9912,806
8313,685
12100,312
11102,800
7452,627
6199,1162
7658,352
7361,324
9180,891
2623,763
5489,300
8963,671
7794,1040
5305,1173
1849,1032
633,1204
2719,795
3623,465
5981,736
6570,344
6915,26
11621,428
5225,36
11335,608
5766,405
7698,114
5863,755
4547,840
10584,1080
6082,1028
2757,862
3405,287
8429,321
4912,1117
40,622
3332,682
11020,954
1665,687
7785,956
4555,1074
4881,1188
8949,32
7332,55
12029,421
7084,106
2176,758
2478,1199
641,516
7122,1182
70,57
12712,1088
4656,1047
12591,323
6854,686
4574,606
12162,317
11685,26
7769,540
1173,455
3256,587
3031,496
9276,618
5912,703
5212,643
7237,467
11771,813
6212,492
215,830
9298,443
1684,390
2288,616
8,863
10830,596
12214,457
7359,1096
99,1007
9302,248
12499,834
10065,763
1035,1015
1186,1062
12633,304
11608,54
12689,953
3237,491
1700,328
8013,37
6654,585
1933,463
10213,839
8221,879
5538,497
11136,1170
6611,27
907,974
6348,961
3723,285
10134,24
4592,560
11669,484
11387,819
12353,831
109,71
9461,606
11204,763
7802,774
486,5
11112,343
1949,857
11362,52
2755,929
3365,292
8976,388
7252,836
11596,359
7664,1212
5146,295
11745,256
1635,458
6294,61
6639,113
12342,767
1721,374
7848,46
5103,960
5844,65
8144,882
2781,739
3393,384
8231,290
7260,438
8935,1041
12185,83
21,390
880,64
4829,571
6917,101
5036,4
2844,1070
6481,295
2782,695
4651,1076
10325,834
11274,163
12486,811
11329,168
11400,416
8272,225
9282,458
685,862
5956,930
5068,859
7147,773
11885,580
11382,999
12540,1131
3279,1173
2463,285
4491,460
12516,333
8633,742
5953,803
4614,906
9590,789
12740,1212
2195,678
380,396
9414,360
7205,245
5490,323
11540,550
11881,1177
10818,754
9313,743
7904,579
3206,510
8543,8
8561,406
1118,75
10245,1173
5233,222
6738,203
6659,195
9054,9
11656,609
10483,717
635,1204
11691,708
5660,939
11311,1029
2388,225
4967,646
9354,255
1819,1060
2477,859
12393,19
3784,858
3681,703
8764,30
10212,591
8048,1199
4369,1167
9732,383
11657,250
6079,514
8452,1162
4663,1212
1748,911
2127,982
9800,993
7294,809
8816,6
10619,1090
8623,405
4104,590
2448,857
8995,343
120,215
1734,934
3510,462
12077,60
10916,655
2618,1171
1061,1004
8283,106
10210,518
1466,739
2822,240
3527,382
12684,110
12598,270
7777,716
8839,446
4800,406
11985,49
4681,48
4218,404
9332,532
5087,196
9510,707
11618,541
11105,1050
11602,1067
7466,280
7513,243
9459,510
12819,24
4528,956
1439,148
7972,760
7914,1071
9279,701
2147,43
12046,207
4943,190
11054,509
8784,408
12562,45
1467,431
6824,354
10165,516
6746,529
9715,954
56,1173
9964,788
6349,921
9460,945
10967,1167
2872,440
12381,739
3590,1198
2375,879
5449,587
12778,601
950,1121
4128,78
7695,306
1408,239
11821,250
6469,549
3169,283
11576,188
4110,260
6965,547
9585,1205
10877,633
7295,844
6016,671
8383,352
9060,790
12259,1169
8172,404
3948,1167
1784,676
10889,723
8034,836
3746,635
7884,1057
9925,1068
7712,538
7026,579
2426,701
8923,1062
1185,1078
10651,676
6,457
8335,34
8934,408
5347,1063
1565,262
10843,983
4212,1138
6821,1190
12662,708
10612,310
2396,594
5955,305
10219,512
2041,796
10133,793
7130,928
6996,111
5092,572
2739,94
2141,866
5412,1083
2631,1162
12422,8
10337,846
6614,682
7810,408
4961,997
1726,534
4487,406
6424,473
1406,780
625,1081
4793,250
12835,992
3994,667
4055,455
1448,981
4251,133
8186,1068
11075,1114
5306,878
4362,31
5541,917
12235,901
4371,404
3148,241
26,868
2998,888
10833,1036
7257,721
5905,1005
12286,1136
4672,989
2699,364
2485,861
11560,1154
2567,542
2552,561
9534,1022
2189,1006
2044,320
5320,358
5303,129
2637,1193
9423,618
10783,507
6453,598
4953,306
2325,1162
6035,261
9035,625
1989,817
3766,625
3276,599
11684,123
10993,869
3395,475
7709,1073
12456,949
5031,504
6908,596
11341,884
2727,660
4115,934
3242,776
243,719
10275,1035
10611,641
5583,1142
12149,87
12399,560
3636,5
10303,625
12520,585
3446,1097
11364,771
12008,522
11857,206
2356,657
2543,625
2695,1167
2241,413
10667,849
2249,809
12863,486
5387,1167
3580,539
8991,468
11760,782
2055,964
11782,656
12222,1108
7855,397
8446,7
9283,1032
8344,404
4545,710
4449,914
1364,1156
9977,147
8461,752
5226,510
7176,551
1119,460
11505,729
10812,590
2975,1171
10682,854
6812,1139
430,1083
9531,262
4980,877
7091,938
8099,191
10510,281
2058,907
9724,1029
9238,1007
2856,1009
9909,625
3064,483
10960,328
8302,940
1860,391
8741,661
2392,378
8188,956
2210,1157
9104,224
4893,885
571,525
11591,198
4459,1169
10846,890
2020,82
4602,714
7762,685
2714,1005
5360,581
10266,946
744,285
7925,298
1324,68
8293,519
12588,1043
10249,474
1370,1162
3095,735
2469,352
791,319
3316,468
3829,497
8234,496
9655,1125
5868,560
10702,815
7610,289
5484,645
4958,1162
10316,205
332,180
10131,1111
4924,927
7559,480
10849,1031
10825,1131
10090,406
12581,850
1690,392
11072,1055
6062,974
2938,516
8613,455
2996,1010
9606,297
2681,285
821,422
12461,427
7781,704
7207,841
8360,1056
4227,509
12900,423
6360,680
5133,378
2130,212
6331,633
6024,749
4363,761
3989,299
9340,1177
11073,606
1260,766
5195,235
9944,717
11703,1037
11478,354
3815,1113
789,510
3042,1155
1561,1128
10438,406
3555,881
3442,747
12479,168
1294,635
12460,125
5592,1211
9664,52
12443,102
1546,1043
6486,191
1298,236
747,676
8541,1175
8551,509
9384,867
7568,414
2978,193
5560,384
12101,911
10290,357
12634,663
6911,304
2192,538
7847,28
1822,307
1534,368
6497,913
10099,526
1313,813
7970,479
7766,987
4127,605
2218,939
10580,152
6328,310
6167,867
3640,60
1235,732
7996,300
7494,371
3299,594
8760,1098
6047,1144
1735,284
11772,839
5321,505
5157,1152
10925,284
6575,798
4368,13
11363,220
7341,417
11463,238
8224,250
4054,459
11667,889
10938,1180
4508,149
12275,217
11327,188
3234,381
5307,64
11950,718
3732,438
2466,473
11658,368
6733,796
156,224
4424,320
5797,276
8138,98
3571,1049
9308,875
4940,870
12368,143
8745,706
7334,204
6877,129
550,689
1059,625
6596,34
6668,118
7030,1154
7308,440
1857,1044
4208,944
5757,1100
3190,812
6719,855
6273,563
512,625
8019,629
11331,46
6005,899
1333,305
6929,539
4290,562
450,308
5265,377
2505,295
1182,1032
5366,185
10697,886
1092,5
11883,9
10828,485
10259,33
1796,672
394,99
5818,796
5167,404
3129,1186
9982,420
10122,873
7714,255
538,467
995,954
3469,1040
5276,176
6088,512
6963,670
12186,790
10887,507
9731,1107
4026,118
11686,142
1190,175
11013,192
6958,802
11886,847
7328,1026
